2025-12-12 13:20:57,267 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/51340/pvh-111-anos-confira-os-nomes-dos-sorteados-na-promocao-voce-joelma-no-camarim
2025-12-12 13:20:58,858 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/51337/aniversario-de-pvh-confira-a-programacao-do-segundo-dia-das-comemoracoes-pelos-111-anos-de-porto-velho
2025-12-12 13:21:00,082 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/51334/pvh-111-anos-comeca-a-montagem-do-maior-bolo-da-regiao-norte-para-o-aniversario-de-porto-velho
2025-12-12 13:21:00,650 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/51173/rumo-aos-111-anos-estruturas-comecam-a-ser-instaladas-para-a-grande-festa-de-aniversario-de-porto-velho
2025-12-12 13:21:01,236 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/51138/programacao-infantil-grupo-3-palavrinhas-e-atracao-na-comemoracao-de-111-anos-de-porto-velho
2025-12-12 13:21:01,960 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/51057/show-nacional-cantora-joelma-e-uma-das-atracoes-confirmadas-na-comemoracao-de-111-anos-de-porto-velho
2025-12-12 13:21:02,870 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/51027/beiradao-cultural-aniversario-de-porto-velho-tera-festa-com-doze-horas-de-musica-ao-vivo
2025-12-12 13:21:03,434 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/51007/parque-da-cidade-dia-de-brincar-marcou-o-ultimo-sabado-13-para-centenas-de-criancas-da-capital
2025-12-12 13:21:04,010 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/50918/cultura-e-lazer-festival-da-vila-calderita-reune-10-mil-pessoas-em-dois-dias-de-festa
2025-12-12 13:21:04,647 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/50862/entretenimento-prefeitura-de-porto-velho-valoriza-cultura-e-garante-apoio-a-eventos-na-capital
2025-12-12 13:21:05,231 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/50790/evento-prefeitura-de-porto-velho-disponibiliza-estrutura-e-atracoes-artisticas-para-o-festival-da-vila-calderita
2025-12-12 13:21:05,935 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/50749/movimento-cultural-prefeitura-fomenta-19-eventos-neste-final-de-semana-confira-a-programacao
2025-12-12 13:21:06,594 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/noticias?page=4
2025-12-12 13:21:07,222 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/50616/agenda-cultural-prefeitura-de-porto-velho-apoia-agenda-cultural-e-comunitaria-no-mes-de-agosto
2025-12-12 13:21:07,848 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/50477/valorizacao-da-cultura-circuito-junino-de-porto-velho-mantem-o-ritmo-com-apoio-da-prefeitura
2025-12-12 13:21:08,457 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/50251/fe-com-apoio-da-prefeitura-marcha-para-jesus-reune-multidao-em-porto-velho
2025-12-12 13:21:09,169 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/50216/programacao-cultural-com-apoio-da-prefeitura-11-arraiais-animam-o-final-de-semana-em-varias-regioes-da-capital
2025-12-12 13:21:09,835 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/50128/resgate-das-tradicoes-prefeitura-apoia-arraiais-e-valoriza-a-cultura-regional-em-diversos-pontos-da-capital
2025-12-12 13:21:10,622 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/50122/festa-julina-alegria-e-tradicao-marcaram-o-arraial-do-mercado-cultural-em-porto-velho
2025-12-12 13:21:11,566 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/50096/valorizacao-regional-arraial-do-mercado-cultural-comeca-nesta-sexta-feira-25-com-quadrilhas-shows-e-muita-diversao
2025-12-12 13:21:12,242 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/50058/festa-julina-arraial-do-mercado-cultural-acontece-nos-dias-25-e-26-de-julho-em-porto-velho
2025-12-12 13:21:12,865 | INFO | 🌐 Cache MISS: baixando https://funcultural.portovelho.ro.gov.br/artigo/49976/saude-do-servidor-prefeitura-de-porto-velho-passa-por-processo-de-melhorias-no-atendimento-a-saude-do-servidor
